"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,    "rms[LM_1]"   ,    "rms[LM_2]"   ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,          32,      -6.149890135,      -4.848881186,      -5.165468482,      -4.044968072,      -2.625264525,      -1.441254091,       1.615685968,               0.5,      0.1153019761,      0.4753534258,                 0,                 0,                 0,      0.2405687716,      0.0818621293,      0.4822385477,                 0,       4.122682385
          0,           0,          33,       -6.20598028,      -4.905417974,      -5.223190779,      -4.100831677,      -2.681314259,      -1.443951544,       1.584327167,               0.5,      0.1153039147,      0.4753566988,                 0,                 0,                 0,      0.2405714401,     0.08186383489,      0.4822419479,                 0,       4.122641455
          0,           0,          34,      -6.261717947,      -4.961403281,      -5.280211648,      -4.156237259,      -2.736896134,      -1.446659815,       1.555896015,               0.5,      0.1153052751,      0.4753579025,                 0,                 0,                 0,      0.2405727624,     0.08186510795,      0.4822432436,                 0,       4.122603257
          0,           0,          35,      -6.316988326,       -5.01692974,      -5.336687041,        -4.2112552,      -2.792095123,       -1.44934062,       1.530075507,               0.5,      0.1153062305,      0.4753578019,                 0,                 0,                 0,      0.2405732098,     0.08186606804,      0.4822432099,                 0,       4.122568226
          0,           0,          36,      -6.371888641,      -5.072069848,      -5.392711387,      -4.265942422,      -2.846960534,      -1.451973148,       1.506588537,               0.5,       0.115306902,      0.4753569096,                 0,                 0,                 0,      0.2405731027,     0.08186680024,      0.4822423666,                 0,       4.122536476
          0,           0,          37,      -6.426517795,      -5.126881162,      -5.448351859,      -4.320345948,      -2.901537173,      -1.454541535,       1.485190132,               0.5,      0.1153073745,       0.475355566,                 0,                 0,                 0,      0.2405726575,      0.0818673653,      0.4822410592,                 0,        4.12250793
          0,           0,          38,      -6.480923153,      -5.181410077,      -5.503662043,       -4.37450498,      -2.955862409,      -1.457033698,        1.46566101,               0.5,      0.1153077072,      0.4753539948,                 0,                 0,                 0,      0.2405720194,      0.0818678068,      0.4822395151,                 0,        4.12248241
          0,           0,          39,       -6.53513545,      -5.235695088,      -5.558686625,      -4.428452466,       -3.00996816,      -1.459440696,       1.447803957,               0.5,      0.1153079417,      0.4753523405,                 0,                 0,                 0,      0.2405712845,     0.08186815609,      0.4822378812,                 0,        4.12245968
          0,           0,          40,      -6.589181294,      -5.289768752,      -5.613463426,        -4.4822163,       -3.06388177,      -1.461756204,       1.431441413,               0.5,      0.1153081071,      0.4753506943,                 0,                 0,                 0,      0.2405705153,     0.08186843587,      0.4822362505,                 0,       4.122439492
          0,           0,          41,      -6.643082414,      -5.343658813,      -5.668024734,      -4.535820259,      -3.117626816,      -1.463976062,       1.416413708,               0.5,      0.1153082237,      0.4753491113,                 0,                 0,                 0,      0.2405697516,     0.08186866269,      0.4822346796,                 0,       4.122421593
          0,           0,          42,      -6.696856328,       -5.39738904,      -5.722398294,      -4.589284744,      -3.171223733,      -1.466097888,       1.402577578,               0.5,      0.1153083061,      0.4753476232,                 0,                 0,                 0,      0.2405690177,     0.08186884866,      0.4822332008,                 0,       4.122405742
          0,           0,          43,      -6.750517835,      -5.450979926,      -5.776608108,      -4.642627375,      -3.224690333,      -1.468120751,       1.389804868,               0.5,      0.1153083642,      0.4753462458,                 0,                 0,                 0,      0.2405683276,     0.08186900274,      0.4822318308,                 0,       4.122391718
          0,           0,          44,      -6.804079836,      -5.504449261,      -5.830675064,      -4.695863467,      -3.278042224,      -1.470044889,       1.377981202,               0.5,      0.1153084053,      0.4753449848,                 0,                 0,                 0,      0.2405676883,     0.08186913164,      0.4822305758,                 0,       4.122379316
          0,           0,          45,       -6.85755374,       -5.55781258,      -5.884617456,      -4.749006421,      -3.331293157,      -1.471871474,       1.367004934,               0.5,      0.1153084342,      0.4753438397,                 0,                 0,                 0,      0.2405671025,     0.08186924037,      0.4822294355,                 0,       4.122368351
          0,           0,          46,      -6.910949777,      -5.611083536,        -5.9384514,      -4.802068046,      -3.384455317,      -1.473602414,       1.356785838,               0.5,      0.1153084545,      0.4753428059,                 0,                 0,                 0,        0.24056657,     0.08186933278,      0.4822284056,                 0,       4.122358658
          0,           0,          47,      -6.964277237,      -5.664274208,      -5.992191183,      -4.855049239,      -3.437539562,      -1.475240182,       1.347244045,               0.5,      0.1153084688,      0.4753418768,                 0,                 0,                 0,      0.2405660886,     0.08186941182,      0.4822274798,                 0,        4.12235009
          0,           0,          48,      -7.017544631,      -5.717385925,      -6.045837219,      -4.907922158,      -3.490543953,      -1.476787675,       1.338309063,               0.5,      0.1153084788,      0.4753410446,                 0,                 0,                 0,      0.2405656556,      0.0818694798,      0.4822266502,                 0,       4.122342517
          0,           0,          49,        -7.0707484,      -5.770390783,      -6.099352075,      -4.960737101,      -3.543434056,      -1.478248097,       1.329918863,               0.5,      0.1153084856,       0.475340301,                 0,                 0,                 0,      0.2405652672,     0.08186953854,      0.4822259089,                 0,       4.122335822
          0,           0,          50,      -7.123849971,      -5.823335639,      -6.152797533,      -5.013502503,      -3.596277069,      -1.479624875,       1.322017755,               0.5,      0.1153084904,      0.4753396379,                 0,                 0,                 0,      0.2405649198,      0.0818695895,      0.4822252478,                 0,       4.122329903
          0,           0,          51,      -7.176902719,      -5.876231464,      -6.206184739,      -5.066225052,       -3.64907032,      -1.480921573,       1.314557605,               0.5,      0.1153084935,      0.4753390475,                 0,                 0,                 0,      0.2405646098,     0.08186963384,       0.482224659,                 0,        4.12232467
          0,           0,          52,      -7.229922556,      -5.929086196,      -6.259523155,       -5.11891101,      -3.701821899,      -1.482141825,       1.307495574,               0.5,      0.1153084956,      0.4753385223,                 0,                 0,                 0,      0.2405643334,     0.08186967253,      0.4822241353,                 0,       4.122320042
          0,           0,          53,      -7.282911161,      -5.981906198,      -6.312820328,      -5.171566175,      -3.754537559,      -1.483289284,       1.300793703,               0.5,      0.1153084969,      0.4753380557,                 0,                 0,                 0,      0.2405640874,     0.08186970637,      0.4822236699,                 0,       4.122315948
          0,           0,          54,      -7.335872774,        -6.0346974,      -6.366083235,      -5.224195999,      -3.807222986,      -1.484367577,       1.294418577,               0.5,      0.1153084976,      0.4753376413,                 0,                 0,                 0,      0.2405638686,     0.08186973601,      0.4822232566,                 0,       4.122312328
          0,           0,          55,      -7.388813064,      -6.087465436,      -6.419318414,       -5.27680567,      -3.859883515,      -1.485380276,       1.288340621,               0.5,       0.115308498,      0.4753372735,                 0,                 0,                 0,      0.2405636741,     0.08186976202,      0.4822228897,                 0,       4.122309126
          0,           0,          56,      -7.441737144,      -6.140215667,      -6.472532066,      -5.329400176,      -3.912524257,      -1.486330871,       1.282533609,               0.5,      0.1153084981,      0.4753369472,                 0,                 0,                 0,      0.2405635013,     0.08186978487,      0.4822225642,                 0,       4.122306293
          0,           0,          57,      -7.494649811,      -6.192953249,      -6.525730138,      -5.381984379,      -3.965150151,      -1.487222752,       1.276974242,               0.5,       0.115308498,      0.4753366577,                 0,                 0,                 0,      0.2405633479,     0.08186980496,      0.4822222754,                 0,       4.122303786
          0,           0,          58,      -7.547555814,      -6.245683207,      -6.578918398,      -5.434563068,      -4.017766034,      -1.488059192,       1.271641776,               0.5,      0.1153084977,      0.4753364011,                 0,                 0,                 0,      0.2405632118,     0.08186982264,      0.4822220194,                 0,       4.122301569
