"PointID","x","y","Pressure","Velocity_x","Velocity_y","Turb_Kin_Energy","Omega","LM_gamma","LM_Re_t"
20, 8.500210373000000e-01, 1.967585480000000e-02, -3.643464166421066e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 2.581284551702633e-01, 2.692838384688387e+02
21, 8.355492141999999e-01, 2.121293260000000e-02, -3.621435535002758e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 2.504297067953233e-01, 2.598218960296483e+02
22, 8.205468188000000e-01, 2.277336590000000e-02, -3.594755784663594e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 2.442319690823078e-01, 2.521057289460208e+02
23, 8.050375730000000e-01, 2.435069770000000e-02, -3.563753644680749e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 2.394675176139482e-01, 2.460485473527536e+02
24, 7.890460001000000e-01, 2.593837210000000e-02, -3.528713396213587e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 2.360855298530322e-01, 2.415842064679981e+02
25, 7.725973860999999e-01, 2.752975800000000e-02, -3.489877185038875e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 2.340515357131751e-01, 2.386664104953181e+02
26, 7.557177396000000e-01, 2.911817330000000e-02, -3.447447888427889e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 2.333470602487022e-01, 2.372681806382473e+02
27, 7.384337506999999e-01, 3.069690890000000e-02, -3.401592319601708e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 2.339694130664932e-01, 2.373815365128145e+02
28, 7.207727491000000e-01, 3.225925320000000e-02, -3.352444600804115e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 2.359315891402331e-01, 2.390173511229342e+02
29, 7.027626604000000e-01, 3.379851680000000e-02, -3.300109572387363e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 2.392623497383972e-01, 2.422054134958063e+02
30, 6.844319623000000e-01, 3.530805620000000e-02, -3.244666176426402e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 2.440063449966740e-01, 2.469945845231779e+02
31, 6.658096393000000e-01, 3.678129860000000e-02, -3.186170766471166e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 2.502243074274560e-01, 2.534530443759602e+02
32, 6.469251372000000e-01, 3.821176520000000e-02, -3.124660336025933e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 2.579932680732288e-01, 2.616685819168300e+02
33, 6.278083162000000e-01, 3.959309550000000e-02, -3.060155685897520e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 2.674067579438784e-01, 2.717488785558657e+02
34, 6.084894041000000e-01, 4.091907000000000e-02, -2.992664574496611e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 2.785749741892524e-01, 2.838217474828595e+02
35, 5.889989478000000e-01, 4.218363330000000e-02, -2.922184928845121e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 2.916248197275086e-01, 2.980352333350895e+02
36, 5.693677660000001e-01, 4.338091580000000e-02, -2.848708205571060e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 3.066997702346380e-01, 3.145575101786735e+02
37, 5.496268995000000e-01, 4.450525570000000e-02, -2.772223011053326e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 3.239595162570707e-01, 3.335765199576325e+02
38, 5.298075625999999e-01, 4.555121970000000e-02, -2.692719103054518e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 3.435794159908291e-01, 3.552993412072807e+02
39, 5.099410938000000e-01, 4.651362250000000e-02, -2.610191942552467e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 3.657495032664863e-01, 3.799510716094333e+02
40, 4.900589062000000e-01, 4.738754660000000e-02, -2.524647944834294e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 3.906731672696270e-01, 4.077732903929872e+02
41, 4.701924374000000e-01, 4.816835990000000e-02, -2.436110614858196e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 4.185654140630631e-01, 4.390220173698798e+02
42, 4.503731005000000e-01, 4.885173350000000e-02, -2.344627765533137e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 4.496506774696320e-01, 4.739651180520331e+02
43, 4.306322340000000e-01, 4.943365700000000e-02, -2.250280036420034e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 4.841601051474604e-01, 5.128790871084352e+02
44, 4.110010522000000e-01, 4.991045420000000e-02, -2.153190935405662e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 5.223283159242260e-01, 5.560451924029998e+02
45, 3.915105959000000e-01, 5.027879660000000e-02, -2.053538624146771e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 5.643897763032497e-01, 6.037449164546077e+02
46, 3.721916838000000e-01, 5.053571590000000e-02, -1.951569699351073e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 6.105745666702658e-01, 6.562534895188124e+02
47, 3.530748628000000e-01, 5.067861540000000e-02, -1.847615192309247e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 6.611037056428148e-01, 7.138260132486137e+02
48, 3.341903607000000e-01, 5.070528010000000e-02, -1.742108999791930e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 7.161839638782818e-01, 7.766498792903975e+02
49, 3.155680377000000e-01, 5.061388520000000e-02, -1.635608943421911e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 7.760011554811915e-01, 8.446622118439291e+02
50, 2.972373396000000e-01, 5.040300340000000e-02, -1.528820610944348e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 8.407059626282853e-01, 9.169289983137073e+02
51, 2.792272509000000e-01, 5.007161070000000e-02, -1.422624071665733e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 9.103608721566953e-01, 9.899574605203978e+02
52, 2.615662493000000e-01, 4.961909100000000e-02, -1.318103478740961e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 9.847172408947669e-01, 1.054641373750050e+03
53, 2.442822604000000e-01, 4.904523890000000e-02, -1.216579473331353e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 1.062178277606759e+00, 1.091842200562572e+03
54, 2.274026139000000e-01, 4.835026130000000e-02, -1.119644174495538e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 1.138659490188085e+00, 1.105260321398664e+03
55, 2.109539999000000e-01, 4.753477760000000e-02, -1.029198369547650e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 1.213752271751021e+00, 1.118357136056483e+03
