"PointID","x","y","Pressure","Velocity_x","Velocity_y","Turb_Kin_Energy","Omega"
111, 3.157745518000000e-01, 1.060919153000000e-01, -8.123588560197902e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000000578678586e+05
112, 3.076453187000000e-01, 1.057473059000000e-01, -5.683594687912635e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.999999860144250e+05
113, 2.995753352000000e-01, 1.053148506000000e-01, -3.019592316007208e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.999999480348247e+05
114, 2.915670870000000e-01, 1.047957743000000e-01, -2.993582344200964e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.999999079191374e+05
115, 2.836230408000000e-01, 1.041915111000000e-01, 2.102676302133941e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.999999690742777e+05
116, 2.757456436000000e-01, 1.035036969000000e-01, 4.410992050332004e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.999998841932895e+05
117, 2.679373219000000e-01, 1.027341604000000e-01, 6.771924710391718e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.999998801172738e+05
118, 2.602004806000000e-01, 1.018849133000000e-01, 9.165328752175608e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.999999636512435e+05
119, 2.525375031000000e-01, 1.009581399000000e-01, 1.156565065003251e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000000366311895e+05
120, 2.449507495000000e-01, 9.995618589999999e-02, 1.395781556466862e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.999998700791660e+05
121, 2.374425569000000e-01, 9.888154700000000e-02, 1.633727556691026e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000001837600709e+05
122, 2.300152379000000e-01, 9.773685570000000e-02, 1.870084392334840e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000000045798603e+05
123, 2.226710803000000e-01, 9.652486920000000e-02, 2.104609867635712e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.999999576262937e+05
124, 2.154123463000000e-01, 9.524845610000000e-02, 2.336910626971842e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000000074015936e+05
125, 2.082412717000000e-01, 9.391058220000000e-02, 2.566525841491659e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.999998096873857e+05
126, 2.011600654000000e-01, 9.251429760000000e-02, 2.793311767139639e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.999999554258344e+05
127, 1.941709085000000e-01, 9.106272180000000e-02, 3.017391330674759e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000000870312086e+05
128, 1.872759538000000e-01, 8.955903040000000e-02, 3.238702242424210e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000000015554222e+05
129, 1.804773253000000e-01, 8.800644080000000e-02, 3.456934389442208e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000000456686172e+05
130, 1.737771169000000e-01, 8.640819819999999e-02, 3.671913359648695e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.999999861558165e+05
131, 1.671773925000000e-01, 8.476756200000000e-02, 3.883639460328325e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000000454762541e+05
132, 1.606801851000000e-01, 8.308779210000000e-02, 4.092158384725051e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000000433304065e+05
133, 1.542874957000000e-01, 8.137213570000000e-02, 4.297608386487892e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000000039606880e+05
134, 1.480012937000000e-01, 7.962381480000000e-02, 4.500207273308211e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.999998520467166e+05
135, 1.418235151000000e-01, 7.784601330000000e-02, 4.700223274734899e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000000210222896e+05
136, 1.357560630000000e-01, 7.604186540000001e-02, 4.897795272728278e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000000539632326e+05
137, 1.298008063000000e-01, 7.421444419999999e-02, 5.093003777704068e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.999998984228663e+05
