"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          71,      -4.244692366,      -4.137501101,      -3.922860106,      -3.540463869,    -0.07322941856,               0.5,      0.5790022033,      0.5523502592,                 0,                 0,                 0,      0.2953004781,      0.5390617789,      0.5913939117,                 0,      0.9539691836
          72,      -4.243155676,      -4.132019181,      -3.918168061,      -3.534773464,    -0.07735199649,               0.5,      0.5783511289,      0.5528228597,                 0,                 0,                 0,      0.2955464178,      0.5383793235,      0.5918199444,                 0,      0.9558602587
          73,      -4.241354253,      -4.125490582,      -3.912893083,      -3.525316093,    -0.07684714437,               0.5,      0.5776909549,      0.5532818937,                 0,                 0,                 0,      0.2957847992,      0.5376887371,      0.5922318087,                 0,      0.9577471985
          74,      -4.239261257,      -4.118080975,      -3.906889607,      -3.511440503,    -0.07021438569,               0.5,      0.5770217536,      0.5537275997,                 0,                 0,                 0,      0.2960157404,       0.536990075,      0.5926297479,                 0,      0.9596303714
          75,      -4.236848241,      -4.109446207,       -3.90040252,      -3.492925252,     -0.0560484554,               0.5,      0.5763436114,      0.5541602454,                 0,                 0,                 0,      0.2962393763,      0.5362834049,      0.5930140349,                 0,      0.9615101727
          76,      -4.234095797,      -4.101268296,      -3.893647928,      -3.470984884,    -0.03341229287,               0.5,      0.5756566333,      0.5545801202,                 0,                 0,                 0,      0.2964558548,      0.5355688113,      0.5933849657,                 0,      0.9633870055
          77,      -4.230989887,      -4.092624058,      -3.886677038,      -3.445963704,   -0.002162323345,               0.5,      0.5749609333,      0.5549875274,                 0,                 0,                 0,      0.2966653344,      0.5348463867,      0.5937428509,                 0,      0.9652612816
          78,      -4.227509506,       -4.08284028,      -3.879233414,      -3.418252126,     0.03694860858,               0.5,       0.574256637,       0.555382778,                 0,                 0,                 0,      0.2968679816,      0.5341162347,      0.5940880095,                 0,      0.9671334073
          79,      -4.223634806,      -4.071959436,      -3.871300967,      -3.388305612,     0.08249891768,               0.5,      0.5735438776,      0.5557661862,                 0,                 0,                 0,      0.2970639678,      0.5333784664,      0.5944207642,                 0,      0.9690037814
          80,      -4.219345086,      -4.060579838,      -3.863230265,      -3.356790044,      0.1327342996,               0.5,      0.5728227959,      0.5561380659,                 0,                 0,                 0,      0.2972534671,      0.5326332002,      0.5947414378,                 0,      0.9708727897
          81,      -4.214632334,      -4.049006094,      -3.854684241,      -3.324158587,      0.1859476769,               0.5,      0.5720935387,      0.5564987269,                 0,                 0,                 0,       0.297436654,      0.5318805609,        0.59505035,                 0,      0.9727408008
          82,      -4.209517699,      -4.036865923,      -3.845651642,      -3.290759374,      0.2407480719,               0.5,      0.5713562534,      0.5568484729,                 0,                 0,                 0,      0.2976137021,      0.5311206746,      0.5953478135,                 0,      0.9746081706
          83,       -4.20399228,      -4.023670976,       -3.83589662,      -3.256968096,      0.2959866955,               0.5,      0.5706110917,      0.5571875981,                 0,                 0,                 0,      0.2977847821,      0.5303536719,      0.5956341328,                 0,      0.9764752319
          84,      -4.198061154,      -4.011631884,       -3.82618197,      -3.223179202,      0.3508521924,               0.5,      0.5698583609,      0.5575164478,                 0,                 0,                 0,      0.2979500935,      0.5295798353,      0.5959096736,                 0,      0.9783421391
          85,        -4.1917436,      -4.000962265,      -3.816431747,      -3.189549356,      0.4048176509,               0.5,      0.5690982958,      0.5578353305,                 0,                 0,                 0,      0.2981098198,      0.5287993776,        0.59617476,                 0,      0.9802091037
          86,      -4.185057779,      -3.991737815,      -3.806341485,      -3.156291663,      0.4573912443,               0.5,       0.568331027,      0.5581445003,                 0,                 0,                 0,      0.2982641195,      0.5280124112,      0.5964296547,                 0,      0.9820764198
          87,      -4.178019183,       -3.98275366,      -3.795781931,      -3.123491936,      0.5083046788,               0.5,       0.567556683,      0.5584441943,                 0,                 0,                 0,      0.2984131467,      0.5272190479,      0.5966746032,                 0,      0.9839443549
          88,        -4.1706482,      -3.973269714,      -3.784757406,      -3.091186909,      0.5575262402,               0.5,      0.5667753939,      0.5587346322,                 0,                 0,                 0,      0.2985570509,       0.526419402,      0.5969098337,                 0,      0.9858131427
          89,      -4.162973628,      -3.964214581,      -3.774090485,      -3.059559388,      0.6049849946,               0.5,      0.5659872875,      0.5590160162,                 0,                 0,                 0,      0.2986959769,      0.5256135871,      0.5971355567,                 0,      0.9876829896
          90,      -4.155044595,      -3.954720568,      -3.762930694,      -3.028548658,      0.6506200783,               0.5,      0.5651924896,      0.5592885305,                 0,                 0,                 0,      0.2988300653,      0.5248017157,      0.5973519648,                 0,      0.9895540736
          91,      -4.146899739,      -3.944741247,      -3.751445311,      -2.998173449,      0.6944926441,               0.5,      0.5643911228,      0.5595523418,                 0,                 0,                 0,      0.2989594523,      0.5239838983,       0.597559233,                 0,      0.9914265467
          92,      -4.138577837,      -3.934413161,      -3.740030992,       -2.96845343,      0.7365927807,               0.5,      0.5635833061,      0.5598076001,                 0,                 0,                 0,      0.2990842704,      0.5231602435,      0.5977575191,                 0,      0.9933005363
          93,      -4.130114661,         -3.924246,      -3.728866508,      -2.939429913,      0.7769616975,               0.5,       0.562769156,      0.5600544387,                 0,                 0,                 0,      0.2992046487,      0.5223308581,      0.5979469641,                 0,      0.9951761441
          94,      -4.121558442,      -3.914448236,        -3.7178308,      -2.911074006,      0.8156123232,               0.5,      0.5619487842,      0.5602929754,                 0,                 0,                 0,      0.2993207124,      0.5214958452,      0.5981276936,                 0,      0.9970534525
          95,      -4.112962328,      -3.904832165,      -3.706981255,      -2.883393737,      0.8498226728,               0.5,       0.561122299,      0.5605233138,                 0,                 0,                 0,      0.2994325839,      0.5206553057,      0.5982998182,                 0,      0.9989325228
          96,      -4.104375882,      -3.895064523,      -3.696226138,      -2.856277097,      0.8750557223,               0.5,      0.5602898039,      0.5607455445,                 0,                 0,                 0,      0.2995403819,      0.5198093364,      0.5984634356,                 0,       1.000813402
          97,        -4.0958296,      -3.885120592,       -3.68569843,       -2.82942658,      0.8976001038,               0.5,      0.5594513972,      0.5609597474,                 0,                 0,                 0,      0.2996442221,        0.51895803,      0.5986186325,                 0,       1.002696124
          98,      -4.087362439,      -3.874717923,      -3.675405633,      -2.802736738,      0.9199935016,               0.5,      0.5586071728,       0.561165993,                 0,                 0,                 0,      0.2997442165,      0.5181014752,      0.5987654855,                 0,       1.004580715
          99,       -4.07899665,      -3.864333373,      -3.665536383,      -2.776223738,      0.9421456748,               0.5,      0.5577572181,      0.5613643446,                 0,                 0,                 0,      0.2998404736,      0.5172397546,      0.5989040641,                 0,       1.006467198
