"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,    "rms[LM_1]"   ,    "rms[LM_2]"   ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          52,     -0.4615000171,     -0.6339206347,     -0.5724222343,      -6.286315198,      -2.232586595,     -0.5174887473,       2.558601598,               0.5,      0.3723468094,      0.2918212781,                 0,                 0,                 0,     0.07120330849,      0.3510833691,      0.3170840152,                 0,      0.7837351381
          53,     -0.4622833165,     -0.6277894331,     -0.5679165987,      -6.285920506,      -2.233981286,     -0.5193721996,       2.551597883,               0.5,      0.3819888585,      0.2996584394,                 0,                 0,                 0,     0.07301571423,       0.360155238,       0.325574681,                 0,      0.7844690565
          54,     -0.4630518742,     -0.6216458475,     -0.5635829672,      -6.285546567,      -2.235412414,     -0.5212312672,       2.541557471,               0.5,      0.3917566201,      0.3076028781,                 0,                 0,                 0,     0.07484629678,      0.3693450298,       0.334181132,                 0,      0.7851887176
          55,     -0.4638064336,     -0.6154927673,     -0.5594219845,       -6.28519338,      -2.236880241,     -0.5230606664,       2.525001328,               0.5,      0.4016514584,      0.3156552309,                 0,                 0,                 0,     0.07669487904,      0.3786540611,      0.3429040987,                 0,      0.7858934017
          56,     -0.4645481465,     -0.6093343366,     -0.5554264359,      -6.284860586,      -2.238384171,     -0.5248613202,       2.525037377,               0.5,      0.4116746845,      0.3238161317,                 0,                 0,                 0,     0.07856129482,      0.3880835955,      0.3517443047,                 0,      0.7865825708
          57,     -0.4652783467,     -0.6031756372,     -0.5515938712,      -6.284547592,      -2.239922962,     -0.5266314369,       2.513726552,               0.5,      0.4218275511,      0.3320861816,                 0,                 0,                 0,      0.0804453613,      0.3976348407,      0.3607024373,                 0,       0.787255789
          58,     -0.4659979186,     -0.5970186251,     -0.5479226848,      -6.284253603,      -2.241494947,     -0.5283739113,       2.505149437,               0.5,      0.4321112579,      0.3404659779,                 0,                 0,                 0,     0.08234690687,      0.4073089519,      0.3697791759,                 0,      0.7879127693
          59,     -0.4666949597,     -0.5908576734,      -0.544408585,      -6.283981668,       -2.24310817,     -0.5300899487,       2.499380838,               0.5,      0.4425271747,      0.3489554315,                 0,                 0,                 0,     0.08426567378,      0.4171073018,      0.3789745273,                 0,      0.7885514188
          60,     -0.4673792185,     -0.5847015681,     -0.5410537152,       -6.28373354,      -2.244766984,     -0.5317807451,       2.493599984,               0.5,      0.4530764827,      0.3575547618,                 0,                 0,                 0,      0.0862014236,      0.4270310533,      0.3882887926,                 0,      0.7891708695
          61,     -0.4680613832,     -0.5785625569,     -0.5378440748,      -6.283508565,      -2.246469601,     -0.5334348598,       2.479358467,               0.5,       0.463760154,      0.3662644785,                 0,                 0,                 0,     0.08815398213,      0.4370811406,       0.397722548,                 0,      0.7897713403
          62,     -0.4687435618,     -0.5724449037,     -0.5347829767,      -6.283307549,      -2.248218713,     -0.5350586955,       2.473282967,               0.5,      0.4745790848,      0.3750850459,                 0,                 0,                 0,      0.0901231427,      0.4472584254,      0.4072763194,                 0,      0.7903530896
          63,     -0.4694262684,     -0.5663509198,      -0.531872194,      -6.283129632,      -2.250012573,       -0.53665643,       2.465512841,               0.5,      0.4855341277,      0.3840168933,                 0,                 0,                 0,     0.09210868672,      0.4575637282,      0.4169505944,                 0,      0.7909163772
          64,     -0.4701098609,     -0.5602824004,     -0.5291087862,      -6.282973553,      -2.251848263,     -0.5382283165,        2.45323171,               0.5,      0.4966260949,      0.3930603956,                 0,                 0,                 0,     0.09411038093,      0.4679978331,      0.4267458036,                 0,      0.7914614226
          65,     -0.4707945083,     -0.5542373889,     -0.5264901835,      -6.282837736,      -2.253722111,     -0.5397631063,       2.438150684,               0.5,      0.5078557587,      0.4022159038,                 0,                 0,                 0,     0.09612797773,      0.4785614861,      0.4366623511,                 0,      0.7919884669
          66,     -0.4714808616,     -0.5482193722,     -0.5240145054,      -6.282720802,      -2.255630641,     -0.5412610329,       2.426896574,               0.5,        0.51922385,      0.4114836956,                 0,                 0,                 0,     0.09816119683,      0.4892553969,      0.4467005651,                 0,      0.7924976782
          67,     -0.4721690152,      -0.542229363,     -0.5216815259,       -6.28262132,      -2.257570431,     -0.5427316405,       2.422807774,               0.5,       0.530731069,      0.4208640812,                 0,                 0,                 0,      0.1002097938,      0.5000802423,      0.4568608035,                 0,      0.7929893421
          68,     -0.4728590535,     -0.5362677064,     -0.5194910316,      -6.282538099,      -2.259538602,      -0.544173984,       2.423998883,               0.5,      0.5423780715,       0.430357309,                 0,                 0,                 0,       0.102273501,      0.5110366592,        0.46714336,                 0,      0.7934636955
          69,     -0.4735487051,     -0.5303351934,     -0.5174412752,      -6.282470114,      -2.261532613,     -0.5455809084,       2.428483469,               0.5,      0.5541654693,      0.4399635278,                 0,                 0,                 0,       0.104352003,      0.5221252476,      0.4775484258,                 0,      0.7939208633
          70,      -0.474241208,     -0.5244339005,     -0.5155303496,      -6.282416708,      -2.263550836,     -0.5469478572,       2.422628866,               0.5,      0.5660938448,      0.4496829009,                 0,                 0,                 0,      0.1064450145,       0.533346577,      0.4880762044,                 0,      0.7943610498
          71,     -0.4749372195,     -0.5185654129,     -0.5137548624,      -6.282376787,      -2.265590456,     -0.5482862088,       2.423524322,               0.5,      0.5781637419,      0.4595155662,                 0,                 0,                 0,      0.1085522522,      0.5447011804,      0.4987268712,                 0,      0.7947844752
          72,     -0.4756375802,     -0.5127259509,     -0.5121086099,      -6.282349493,      -2.267649179,     -0.5495971747,       2.433710716,               0.5,      0.5903756557,      0.4694616543,                 0,                 0,                 0,      0.1106734209,      0.5561895426,      0.5095005912,                 0,      0.7951914172
          73,     -0.4763426898,     -0.5069198813,     -0.5105957587,      -6.282335743,      -2.269729622,     -0.5508705582,       2.439861497,               0.5,      0.6027300274,      0.4795212132,                 0,                 0,                 0,      0.1128082209,      0.5678121004,      0.5203974428,                 0,      0.7955820871
