"PointID","x","y","Pressure","Velocity_x","Velocity_y","Turb_Kin_Energy","Omega","LM_gamma","LM_Re_t"
21, 9.664223391000000e-01, 4.488756700000000e-03, -2.175237219032633e+00, -2.896483240816644e-251, -2.025418280595910e-252, 1.000000000000000e-10, 1.000000000000000e-04, 8.451229618244024e-01, 9.548806594186511e+02
22, 9.631890772000000e-01, 4.814155000000000e-03, -2.197241685636789e+00, 1.408516819827851e-250, 9.849308551848555e-252, 1.000000000000000e-10, 1.000000000000000e-04, 7.525338184611123e-01, 8.849796034509534e+02
23, 9.598131425999999e-01, 5.160999800000000e-03, -2.186802958881183e+00, 8.354864712221629e-251, 5.842290223391124e-252, 1.000000000000000e-10, 1.000000000000000e-04, 7.525393551745405e-01, 8.849128912141888e+02
24, 9.562955751000000e-01, 5.530103200000000e-03, -2.138224753390163e+00, -4.200754270146686e-252, -2.937453381793974e-253, 1.000000000000000e-10, 1.000000000000000e-04, 8.478304609291869e-01, 9.592548268091391e+02
25, 9.526374583000000e-01, 5.922300400000000e-03, -2.155365460632289e+00, 1.766205275355217e-251, 1.235050975465266e-252, 1.000000000000000e-10, 1.000000000000000e-04, 7.585711618201295e-01, 8.958485431590493e+02
26, 9.488399190000000e-01, 6.338447200000000e-03, -2.142475996791523e+00, 9.314650854378679e-252, 6.513438038228624e-253, 1.000000000000000e-10, 1.000000000000000e-04, 7.585593873476394e-01, 8.957273933000969e+02
27, 9.449041268000000e-01, 6.779417300000000e-03, -2.092356785060253e+00, -3.968747054940700e-253, -2.775218141387110e-254, 1.000000000000000e-10, 1.000000000000000e-04, 8.509758323450112e-01, 9.641617966543328e+02
28, 9.408312942000000e-01, 7.246099900000000e-03, -2.105321478567087e+00, 1.468793600458013e-252, 1.027080483970341e-253, 1.000000000000000e-10, 1.000000000000000e-04, 7.652400669227557e-01, 9.071444763250058e+02
29, 9.366226755000000e-01, 7.739396300000000e-03, -2.090387193209462e+00, 6.954556607159380e-253, 4.863099460436805e-254, 1.000000000000000e-10, 1.000000000000000e-04, 7.652220999244977e-01, 9.069383222138435e+02
30, 9.322795672000000e-01, 8.260216600000000e-03, -2.039066069298610e+00, -2.527862250489644e-254, -1.767653387673840e-255, 1.000000000000000e-10, 1.000000000000000e-04, 8.545759660883862e-01, 9.696010841472596e+02
